short_name,overall,DifferenceFromMin,DifferenceFromMax,AverageOverall,RatingCategory
L. Röser,63,16,28,66.006,Lowest Rated
A. Brorsson,63,16,28,66.006,Lowest Rated
T. Baumgart,63,16,28,66.006,Lowest Rated
Gustavo Costa,63,16,28,66.006,Lowest Rated
M. Farrona Pulido,63,16,28,66.006,Lowest Rated
M. Skenderović,63,16,28,66.006,Lowest Rated
L. Scherff,63,16,28,66.006,Lowest Rated
J. Vollert,63,16,28,66.006,Lowest Rated
O. Gaines,63,16,28,66.006,Lowest Rated
Ibson Melo,63,16,28,66.006,Lowest Rated
Pedro Martelo,63,16,28,66.006,Lowest Rated
Néstor Albiach,63,16,28,66.006,Lowest Rated
M. Yılmaz,63,16,28,66.006,Lowest Rated
Go Myeong Seok,63,16,28,66.006,Lowest Rated
S. Sow,63,16,28,66.006,Lowest Rated
V. Demaku,63,16,28,66.006,Lowest Rated
E. Marković,63,16,28,66.006,Lowest Rated
F. Rohner,63,16,28,66.006,Lowest Rated
B. Williams,63,16,28,66.006,Lowest Rated
C. Hendry,63,16,28,66.006,Lowest Rated
A. Al Asmari,63,16,28,66.006,Lowest Rated
R. Najjarine,63,16,28,66.006,Lowest Rated
C. Moros Gracia,63,16,28,66.006,Lowest Rated
T. Knowles,63,16,28,66.006,Lowest Rated
G. Cléùr,63,16,28,66.006,Lowest Rated
O. Shaw,63,16,28,66.006,Lowest Rated
J. Gibson,63,16,28,66.006,Lowest Rated
J. Grodowski,63,16,28,66.006,Lowest Rated
R. Kadima,63,16,28,66.006,Lowest Rated
J. Brown,63,16,28,66.006,Lowest Rated
K. Bennetts,63,16,28,66.006,Lowest Rated
N. Tsaroulla,63,16,28,66.006,Lowest Rated
T. Eyoma,63,16,28,66.006,Lowest Rated
G. McEachran,63,16,28,66.006,Lowest Rated
Lin Liangming,63,16,28,66.006,Lowest Rated
E. Daci,63,16,28,66.006,Lowest Rated
R. Wiedesheim-Paul,63,16,28,66.006,Lowest Rated
L. Shabani,63,16,28,66.006,Lowest Rated
A. Dursun,63,16,28,66.006,Lowest Rated
R. Harbottle,63,16,28,66.006,Lowest Rated
W. Ferry,63,16,28,66.006,Lowest Rated
N. Carnat,63,16,28,66.006,Lowest Rated
B. Goodliffe,63,16,28,66.006,Lowest Rated
R. Leak,63,16,28,66.006,Lowest Rated
G. Vetti,63,16,28,66.006,Lowest Rated
C. Özkan,63,16,28,66.006,Lowest Rated
K. Brünker,63,16,28,66.006,Lowest Rated
M. Miller,63,16,28,66.006,Lowest Rated
Yao Junsheng,63,16,28,66.006,Lowest Rated
C. Akono,63,16,28,66.006,Lowest Rated
D. Błanik,63,16,28,66.006,Lowest Rated
A. Arigoni,63,16,28,66.006,Lowest Rated
A. Šušnjar,63,16,28,66.006,Lowest Rated
M. Shabani,63,16,28,66.006,Lowest Rated
A. Al Khatib,63,16,28,66.006,Lowest Rated
Lee Hyun Sik,63,16,28,66.006,Lowest Rated
L. Gordon,63,16,28,66.006,Lowest Rated
J. Rieckmann,63,16,28,66.006,Lowest Rated
A. Bærtelsen,63,16,28,66.006,Lowest Rated
L. Vallier,63,16,28,66.006,Lowest Rated
F. Kaya,63,16,28,66.006,Lowest Rated
M. Breunig,63,16,28,66.006,Lowest Rated
L. Fadinger,63,16,28,66.006,Lowest Rated
D. Wenzel-Halls,63,16,28,66.006,Lowest Rated
B. Radulović,63,16,28,66.006,Lowest Rated
N. Burkart,63,16,28,66.006,Lowest Rated
R. Crichlow,63,16,28,66.006,Lowest Rated
M. Żukowski,63,16,28,66.006,Lowest Rated
A. Mostafa,63,16,28,66.006,Lowest Rated
L. Schneider,63,16,28,66.006,Lowest Rated
T. Knost,63,16,28,66.006,Lowest Rated
T. Fleckstein,63,16,28,66.006,Lowest Rated
O. Batista Meier,63,16,28,66.006,Lowest Rated
C. Øyvann,63,16,28,66.006,Lowest Rated
Y. Otto,63,16,28,66.006,Lowest Rated
Pascu,63,16,28,66.006,Lowest Rated
A. Bakir,63,16,28,66.006,Lowest Rated
F. El Khoumisti,63,16,28,66.006,Lowest Rated
R. Lamie,63,16,28,66.006,Lowest Rated
Y. Letard,63,16,28,66.006,Lowest Rated
M. Hippolyte,63,16,28,66.006,Lowest Rated
A. Taoui,63,16,28,66.006,Lowest Rated
W. Le Pogam,63,16,28,66.006,Lowest Rated
P. Chato,63,16,28,66.006,Lowest Rated
D. Szczepan,63,16,28,66.006,Lowest Rated
B. Baiye,63,16,28,66.006,Lowest Rated
M. Baldisimo,63,16,28,66.006,Lowest Rated
İ. Akdağ,63,16,28,66.006,Lowest Rated
M. Żyro,63,16,28,66.006,Lowest Rated
M. Haas,63,16,28,66.006,Lowest Rated
H. Al Yami,63,16,28,66.006,Lowest Rated
A. Abdu,63,16,28,66.006,Lowest Rated
P. Samiec-Talar,63,16,28,66.006,Lowest Rated
Pelayo Morilla,63,16,28,66.006,Lowest Rated
N. Wiemann,63,16,28,66.006,Lowest Rated
A. Morgan,63,16,28,66.006,Lowest Rated
E. Majetschak,63,16,28,66.006,Lowest Rated
J. King,63,16,28,66.006,Lowest Rated
A. O'Reilly,63,16,28,66.006,Lowest Rated
K. Ramsay,63,16,28,66.006,Lowest Rated
P. Arano,63,16,28,66.006,Lowest Rated
C. Elliot,63,16,28,66.006,Lowest Rated
R. Rydel,63,16,28,66.006,Lowest Rated
D. Markanday,63,16,28,66.006,Lowest Rated
M. Moro,63,16,28,66.006,Lowest Rated
L. Dajaku,63,16,28,66.006,Lowest Rated
K. Cabral,63,16,28,66.006,Lowest Rated
Pablo Ramón,63,16,28,66.006,Lowest Rated
R. Grigore,63,16,28,66.006,Lowest Rated
F. Arismendi,63,16,28,66.006,Lowest Rated
A. Smith,63,16,28,66.006,Lowest Rated
M. Sylla,63,16,28,66.006,Lowest Rated
S. Liseth,63,16,28,66.006,Lowest Rated
J. Král,63,16,28,66.006,Lowest Rated
M. Burruchaga,63,16,28,66.006,Lowest Rated
S. Junqua,63,16,28,66.006,Lowest Rated
C. Ndaba,63,16,28,66.006,Lowest Rated
K. John,63,16,28,66.006,Lowest Rated
L. Dumitriu,63,16,28,66.006,Lowest Rated
I. Panțîru,63,16,28,66.006,Lowest Rated
I. Biceanu,63,16,28,66.006,Lowest Rated
S. Soto,63,16,28,66.006,Lowest Rated
O. Perianu,63,16,28,66.006,Lowest Rated
D. Simeu,63,16,28,66.006,Lowest Rated
Lee Soo Bin,63,16,28,66.006,Lowest Rated
G. Grubbe,63,16,28,66.006,Lowest Rated
M. Skrzypczak,63,16,28,66.006,Lowest Rated
A. Phliponeau,63,16,28,66.006,Lowest Rated
M. Ngalina,63,16,28,66.006,Lowest Rated
G. Ahadme,63,16,28,66.006,Lowest Rated
J. Mellish,63,16,28,66.006,Lowest Rated
R. Sotiriou,63,16,28,66.006,Lowest Rated
J. Sobociński,63,16,28,66.006,Lowest Rated
F. Alves,63,16,28,66.006,Lowest Rated
M. Martac,63,16,28,66.006,Lowest Rated
R. Ion,63,16,28,66.006,Lowest Rated
M. Trąbka,63,16,28,66.006,Lowest Rated
P. Besong,63,16,28,66.006,Lowest Rated
A. Lungwitz,63,16,28,66.006,Lowest Rated
W. Coulibaly,63,16,28,66.006,Lowest Rated
P. Krawczyk,63,16,28,66.006,Lowest Rated
L. Kwadwo,63,16,28,66.006,Lowest Rated
Leo Cordeiro,63,16,28,66.006,Lowest Rated
C. Boli,63,16,28,66.006,Lowest Rated
Seo Jin Su,63,16,28,66.006,Lowest Rated
A. Sagna,63,16,28,66.006,Lowest Rated
A. Țigănașu,63,16,28,66.006,Lowest Rated
J. Tunnicliffe,63,16,28,66.006,Lowest Rated
D. Hall,63,16,28,66.006,Lowest Rated
A. Ngouyamsa,63,16,28,66.006,Lowest Rated
T. Barbet,63,16,28,66.006,Lowest Rated
Luís Phelipe,63,16,28,66.006,Lowest Rated
Y. Bilingi,63,16,28,66.006,Lowest Rated
Rúben Ismael,63,16,28,66.006,Lowest Rated
E. Valderrey,63,16,28,66.006,Lowest Rated
João Serrão,63,16,28,66.006,Lowest Rated
A. Lagos,63,16,28,66.006,Lowest Rated
Park Kyu Hyun,63,16,28,66.006,Lowest Rated
Kevin Carlos,63,16,28,66.006,Lowest Rated
Rúben Fonseca,63,16,28,66.006,Lowest Rated
J. Okedina,63,16,28,66.006,Lowest Rated
M. Żurawski,63,16,28,66.006,Lowest Rated
Chen Pu,63,16,28,66.006,Lowest Rated
R. Yapi,63,16,28,66.006,Lowest Rated
R. Tachie,63,16,28,66.006,Lowest Rated
D. Devoy,63,16,28,66.006,Lowest Rated
S. Camara,63,16,28,66.006,Lowest Rated
Lim Dug Keun,63,16,28,66.006,Lowest Rated
M. Stöcker,63,16,28,66.006,Lowest Rated
V. Zagaritis,63,16,28,66.006,Lowest Rated
J. Bergström,63,16,28,66.006,Lowest Rated
F. Hernandez,63,16,28,66.006,Lowest Rated
G. Comas,63,16,28,66.006,Lowest Rated
S. Sutton,63,16,28,66.006,Lowest Rated
J. Flint,63,16,28,66.006,Lowest Rated
L. Schuster,63,16,28,66.006,Lowest Rated
S. McClelland,63,16,28,66.006,Lowest Rated
R. Montero,63,16,28,66.006,Lowest Rated
C. Montaña,63,16,28,66.006,Lowest Rated
R. Cuéllar,63,16,28,66.006,Lowest Rated
R. Danzaki,63,16,28,66.006,Lowest Rated
C. Noß,63,16,28,66.006,Lowest Rated
E. Rivas,63,16,28,66.006,Lowest Rated
M. Lixandru,63,16,28,66.006,Lowest Rated
A. Contreras,63,16,28,66.006,Lowest Rated
J. De Santis,63,16,28,66.006,Lowest Rated
A. Valério,63,16,28,66.006,Lowest Rated
C. Winther,63,16,28,66.006,Lowest Rated
E. Kornvig,63,16,28,66.006,Lowest Rated
N. Pijnaker,63,16,28,66.006,Lowest Rated
G. Vallecilla,63,16,28,66.006,Lowest Rated
D. Zator,63,16,28,66.006,Lowest Rated
C. Árabe,63,16,28,66.006,Lowest Rated
V. Gustafson,63,16,28,66.006,Lowest Rated
R. Jones,63,16,28,66.006,Lowest Rated
A. Descotte,63,16,28,66.006,Lowest Rated
Manu Nieto,63,16,28,66.006,Lowest Rated
K. Nsona,63,16,28,66.006,Lowest Rated
G. Coelho,63,16,28,66.006,Lowest Rated
B. Koumetio,63,16,28,66.006,Lowest Rated
F. Ibarra,63,16,28,66.006,Lowest Rated
J. Davison,63,16,28,66.006,Lowest Rated
Cubero,63,16,28,66.006,Lowest Rated
S. Navarro,63,16,28,66.006,Lowest Rated
R. Robinson,63,16,28,66.006,Lowest Rated
D. Nealis,63,16,28,66.006,Lowest Rated
N. Kenneh,63,16,28,66.006,Lowest Rated
S. Berhalter,63,16,28,66.006,Lowest Rated
S. Velkov,63,16,28,66.006,Lowest Rated
A. Șeroni,63,16,28,66.006,Lowest Rated
S. Banks,63,16,28,66.006,Lowest Rated
Kim In Kyun,63,16,28,66.006,Lowest Rated
M. Cabral,63,16,28,66.006,Lowest Rated
Dani Albiar,63,16,28,66.006,Lowest Rated
M. Helm,63,16,28,66.006,Lowest Rated
G. Gohlke,63,16,28,66.006,Lowest Rated
J. Shcherbakovski,63,16,28,66.006,Lowest Rated
Thiago,63,16,28,66.006,Lowest Rated
B. Wdowik,63,16,28,66.006,Lowest Rated
S. Stehle,63,16,28,66.006,Lowest Rated
M. Ehmann,63,16,28,66.006,Lowest Rated
G. Thomason,63,16,28,66.006,Lowest Rated
A. Baldursson,63,16,28,66.006,Lowest Rated
Pablo Pérez,63,16,28,66.006,Lowest Rated
Rafael Pereira,63,16,28,66.006,Lowest Rated
Jony Álamo,63,16,28,66.006,Lowest Rated
A. Samudio,63,16,28,66.006,Lowest Rated
P. Delgado,63,16,28,66.006,Lowest Rated
L. Yarbrough,63,16,28,66.006,Lowest Rated
P. Hasenhüttl,63,16,28,66.006,Lowest Rated
J. Garrett,63,16,28,66.006,Lowest Rated
S. Contreras,63,16,28,66.006,Lowest Rated
T. Maciejewski,63,16,28,66.006,Lowest Rated
J. Moon,63,16,28,66.006,Lowest Rated
A. Smith,63,16,28,66.006,Lowest Rated
N. Collins,63,16,28,66.006,Lowest Rated
F. Versaci,63,16,28,66.006,Lowest Rated
B. Chrisene,63,16,28,66.006,Lowest Rated
M. Kozak,63,16,28,66.006,Lowest Rated
G. Barès,63,16,28,66.006,Lowest Rated
D. Thiam,63,16,28,66.006,Lowest Rated
A. Lind,63,16,28,66.006,Lowest Rated
D. Pavlovic,63,16,28,66.006,Lowest Rated
D. Borkowski,63,16,28,66.006,Lowest Rated
J. Butler,63,16,28,66.006,Lowest Rated
C. Zabou,63,16,28,66.006,Lowest Rated
O. Schönfelder,63,16,28,66.006,Lowest Rated
C. Diabaté,63,16,28,66.006,Lowest Rated
J. Stark,63,16,28,66.006,Lowest Rated
M. Thiel,63,16,28,66.006,Lowest Rated
J. Efford,63,16,28,66.006,Lowest Rated
W. Bondo,63,16,28,66.006,Lowest Rated
F. Flores,63,16,28,66.006,Lowest Rated
Y. Ayari,63,16,28,66.006,Lowest Rated
I. Davies,63,16,28,66.006,Lowest Rated
L. Mauragis,63,16,28,66.006,Lowest Rated
S. Sidibe,63,16,28,66.006,Lowest Rated
M. Bartolewski,63,16,28,66.006,Lowest Rated
R. Dadok,63,16,28,66.006,Lowest Rated
I. Mammini,63,16,28,66.006,Lowest Rated
A. Oroian,63,16,28,66.006,Lowest Rated
F. Ilie,63,16,28,66.006,Lowest Rated
E. Tatlı,63,16,28,66.006,Lowest Rated
M. Tsoungui,63,16,28,66.006,Lowest Rated
S. Christiansen,63,16,28,66.006,Lowest Rated
D. Min,63,16,28,66.006,Lowest Rated
Álex Blesa,63,16,28,66.006,Lowest Rated
A. Baldi,63,16,28,66.006,Lowest Rated
D. Gallardo,63,16,28,66.006,Lowest Rated
V. Mastrantonio,63,16,28,66.006,Lowest Rated
D. Duarte,63,16,28,66.006,Lowest Rated
K. Boma,63,16,28,66.006,Lowest Rated
J. Headley,63,16,28,66.006,Lowest Rated
T. Anselm,63,16,28,66.006,Lowest Rated
J. MacKenzie,63,16,28,66.006,Lowest Rated
S. Tedić,63,16,28,66.006,Lowest Rated
T. Cassandro,63,16,28,66.006,Lowest Rated
L. Hoole,63,16,28,66.006,Lowest Rated
J. Fabisch,63,16,28,66.006,Lowest Rated
O. Sijarić,63,16,28,66.006,Lowest Rated
D. Kruse,63,16,28,66.006,Lowest Rated
B. Balogh,63,16,28,66.006,Lowest Rated
I. Fomba,63,16,28,66.006,Lowest Rated
H. Ashby,63,16,28,66.006,Lowest Rated
S. Lewkot,63,16,28,66.006,Lowest Rated
E. Mahmoud,63,16,28,66.006,Lowest Rated
C. Sánchez,63,16,28,66.006,Lowest Rated
J. Mingi,63,16,28,66.006,Lowest Rated
M. Enggård,63,16,28,66.006,Lowest Rated
S. Ottesen,63,16,28,66.006,Lowest Rated
A. Wharton,63,16,28,66.006,Lowest Rated
Zarzana,63,16,28,66.006,Lowest Rated
R. van den Berg,63,16,28,66.006,Lowest Rated
T. Velthuis,63,16,28,66.006,Lowest Rated
S. Czyż,63,16,28,66.006,Lowest Rated
S. Bradley,63,16,28,66.006,Lowest Rated
G. Álvarez,63,16,28,66.006,Lowest Rated
D. Hall,63,16,28,66.006,Lowest Rated
A. Lindahl,63,16,28,66.006,Lowest Rated
S. Bell,63,16,28,66.006,Lowest Rated
N. Eile,63,16,28,66.006,Lowest Rated
C. Talbot,63,16,28,66.006,Lowest Rated
S. Balobaid,63,16,28,66.006,Lowest Rated
T. Civeja,63,16,28,66.006,Lowest Rated
B. Castillo,63,16,28,66.006,Lowest Rated
Ö. Artan,63,16,28,66.006,Lowest Rated
R. Alebiosu,63,16,28,66.006,Lowest Rated
L. Mouyokolo,63,16,28,66.006,Lowest Rated
A. Olusanya,63,16,28,66.006,Lowest Rated
L. Brumme,63,16,28,66.006,Lowest Rated
O. Heil,63,16,28,66.006,Lowest Rated
O. Fallenius,63,16,28,66.006,Lowest Rated
M. Diambou,63,16,28,66.006,Lowest Rated
Han Ho Gang,63,16,28,66.006,Lowest Rated
N. Shamoun,63,16,28,66.006,Lowest Rated
S. Ibrahim,63,16,28,66.006,Lowest Rated
J. Ibáñez,63,16,28,66.006,Lowest Rated
T. Wright,63,16,28,66.006,Lowest Rated
J. Mina,63,16,28,66.006,Lowest Rated
S. Owusu,63,16,28,66.006,Lowest Rated
J. Neal,63,16,28,66.006,Lowest Rated
A. Mabika,63,16,28,66.006,Lowest Rated
R. Street,63,16,28,66.006,Lowest Rated
W. Carmona,63,16,28,66.006,Lowest Rated
I. Smeulers,63,16,28,66.006,Lowest Rated
G. Onugkha,63,16,28,66.006,Lowest Rated
C. Abastoflor,63,16,28,66.006,Lowest Rated
A. Bjarnason,63,16,28,66.006,Lowest Rated
L. Tursch,63,16,28,66.006,Lowest Rated
D. Scarlett,63,16,28,66.006,Lowest Rated
B. Kikanović,63,16,28,66.006,Lowest Rated
A. Napolitano,63,16,28,66.006,Lowest Rated
G. Álvez,63,16,28,66.006,Lowest Rated
N. Chadli,63,16,28,66.006,Lowest Rated
K. Jelacic,63,16,28,66.006,Lowest Rated
J. Giani,63,16,28,66.006,Lowest Rated
N. Zeineddin,63,16,28,66.006,Lowest Rated
M. Balard,63,16,28,66.006,Lowest Rated
J. Bell,63,16,28,66.006,Lowest Rated
T. Foszmańczyk,63,16,28,66.006,Lowest Rated
C. Jerome,63,16,28,66.006,Lowest Rated
D. Grote,63,16,28,66.006,Lowest Rated
J. Toivio,63,16,28,66.006,Lowest Rated
B. Hämäläinen,63,16,28,66.006,Lowest Rated
S. Quinn,63,16,28,66.006,Lowest Rated
A. Marciniak,63,16,28,66.006,Lowest Rated
L. Broxham,63,16,28,66.006,Lowest Rated
P. Bengtsson,63,16,28,66.006,Lowest Rated
S. Williams,63,16,28,66.006,Lowest Rated
Yan Xiangchuang,63,16,28,66.006,Lowest Rated
J. Mattock,63,16,28,66.006,Lowest Rated
J. Henry,63,16,28,66.006,Lowest Rated
J. Bostock,63,16,28,66.006,Lowest Rated
T. Kupisz,63,16,28,66.006,Lowest Rated
M. Sadlok,63,16,28,66.006,Lowest Rated
E. Bennett,63,16,28,66.006,Lowest Rated
M. Mešanović,63,16,28,66.006,Lowest Rated
A. Diomande,63,16,28,66.006,Lowest Rated
M. Morrison,63,16,28,66.006,Lowest Rated
J. Mårtensson,63,16,28,66.006,Lowest Rated
L. Waterfall,63,16,28,66.006,Lowest Rated
A. MacDonald,63,16,28,66.006,Lowest Rated
C. Telo,63,16,28,66.006,Lowest Rated
M. Boland,63,16,28,66.006,Lowest Rated
S. Wangberg,63,16,28,66.006,Lowest Rated
D. Ball,63,16,28,66.006,Lowest Rated
H. Ibusuki,63,16,28,66.006,Lowest Rated
M. Hornschuh,63,16,28,66.006,Lowest Rated
Lim Jong Eun,63,16,28,66.006,Lowest Rated
Kim Sung Joon,63,16,28,66.006,Lowest Rated
Yun Suk Young,63,16,28,66.006,Lowest Rated
M. Kröpfl,63,16,28,66.006,Lowest Rated
T. Parkes,63,16,28,66.006,Lowest Rated
J. Stockley,63,16,28,66.006,Lowest Rated
A. Stevanović,63,16,28,66.006,Lowest Rated
J. Lacerda,63,16,28,66.006,Lowest Rated
Y. de Lanlay,63,16,28,66.006,Lowest Rated
G. Williams,63,16,28,66.006,Lowest Rated
A. Calisir,63,16,28,66.006,Lowest Rated
M. Connolly,63,16,28,66.006,Lowest Rated
N. Đurđić,63,16,28,66.006,Lowest Rated
J. Shaughnessy,63,16,28,66.006,Lowest Rated
D. Löfquist,63,16,28,66.006,Lowest Rated
M. Çağıran,63,16,28,66.006,Lowest Rated
H. Pell,63,16,28,66.006,Lowest Rated
P. Malarczyk,63,16,28,66.006,Lowest Rated
M. Maak,63,16,28,66.006,Lowest Rated
J. Forster-Caskey,63,16,28,66.006,Lowest Rated
R. Watson,63,16,28,66.006,Lowest Rated
M. Ehmer,63,16,28,66.006,Lowest Rated
M. Răduț,63,16,28,66.006,Lowest Rated
C. Booth,63,16,28,66.006,Lowest Rated
Pardo,63,16,28,66.006,Lowest Rated
T. Geyer,63,16,28,66.006,Lowest Rated
R. Teibert,63,16,28,66.006,Lowest Rated
S. McLaughlin,63,16,28,66.006,Lowest Rated
M. Knoll,63,16,28,66.006,Lowest Rated
S. May,63,16,28,66.006,Lowest Rated
L. Young,63,16,28,66.006,Lowest Rated
Shin Se Gye,63,16,28,66.006,Lowest Rated
A. Stewart,63,16,28,66.006,Lowest Rated
A. O'Brien,63,16,28,66.006,Lowest Rated
D. Rose,63,16,28,66.006,Lowest Rated
M. Smith,63,16,28,66.006,Lowest Rated
R. Jackson,63,16,28,66.006,Lowest Rated
A. O'Connor,63,16,28,66.006,Lowest Rated
J. Allansson,63,16,28,66.006,Lowest Rated
J. Sternberg,63,16,28,66.006,Lowest Rated
W. Jordán,63,16,28,66.006,Lowest Rated
J. Caprice,63,16,28,66.006,Lowest Rated
S. Maier,63,16,28,66.006,Lowest Rated
N. Ansell,63,16,28,66.006,Lowest Rated
J. Reid,63,16,28,66.006,Lowest Rated
J. Baldwin,63,16,28,66.006,Lowest Rated
P. Mroziński,63,16,28,66.006,Lowest Rated
K. Rowe,63,16,28,66.006,Lowest Rated
R. Gaffney,63,16,28,66.006,Lowest Rated
O. Silverholt,63,16,28,66.006,Lowest Rated
A. Al Hafith,63,16,28,66.006,Lowest Rated
Francisco Júnior,63,16,28,66.006,Lowest Rated
K. Morris,63,16,28,66.006,Lowest Rated
A. Asiri,63,16,28,66.006,Lowest Rated
T. Anderson,63,16,28,66.006,Lowest Rated
J. Powell,63,16,28,66.006,Lowest Rated
M. Al Fehaid,63,16,28,66.006,Lowest Rated
K. Sadlier,63,16,28,66.006,Lowest Rated
I. Al Zubaidi,63,16,28,66.006,Lowest Rated
C. Chapman,63,16,28,66.006,Lowest Rated
L. Dürholtz,63,16,28,66.006,Lowest Rated
Álex Bernal,63,16,28,66.006,Lowest Rated
A. Al Fahad,63,16,28,66.006,Lowest Rated
D. Del Fabro,63,16,28,66.006,Lowest Rated
Carlos Hernández,63,16,28,66.006,Lowest Rated
S. O'Neill,63,16,28,66.006,Lowest Rated
P. McGinn,63,16,28,66.006,Lowest Rated
J. Donachie,63,16,28,66.006,Lowest Rated
S. Braun-Schumacher,63,16,28,66.006,Lowest Rated
S. Hoare,63,16,28,66.006,Lowest Rated
Koo Ja Ryong,63,16,28,66.006,Lowest Rated
J. Löhden,63,16,28,66.006,Lowest Rated
S. Kaikai,63,16,28,66.006,Lowest Rated
A. Calver,63,16,28,66.006,Lowest Rated
S. Caldwell,63,16,28,66.006,Lowest Rated
T. Waker,63,16,28,66.006,Lowest Rated
B. Kwiecień,63,16,28,66.006,Lowest Rated
Z. Clough,63,16,28,66.006,Lowest Rated
S. Galloway,63,16,28,66.006,Lowest Rated
N. Al Mousa,63,16,28,66.006,Lowest Rated
B. Dabanlı,63,16,28,66.006,Lowest Rated
J. Böðvarsson,63,16,28,66.006,Lowest Rated
R. Croasdale,63,16,28,66.006,Lowest Rated
T. Al Absi,63,16,28,66.006,Lowest Rated
S. Roux,63,16,28,66.006,Lowest Rated
A. McGowan,63,16,28,66.006,Lowest Rated
R. Oates,63,16,28,66.006,Lowest Rated
H. Aiesh,63,16,28,66.006,Lowest Rated
M. Bonne,63,16,28,66.006,Lowest Rated
J. Wilson,63,16,28,66.006,Lowest Rated
D. Jones,63,16,28,66.006,Lowest Rated
F. Godoy,63,16,28,66.006,Lowest Rated
B. Cargill,63,16,28,66.006,Lowest Rated
L. Ashcroft,63,16,28,66.006,Lowest Rated
G. Rólantsson,63,16,28,66.006,Lowest Rated
R. Hunt,63,16,28,66.006,Lowest Rated
B. Purrington,63,16,28,66.006,Lowest Rated
C. Randall,63,16,28,66.006,Lowest Rated
C. Long,63,16,28,66.006,Lowest Rated
Peng Xinli,63,16,28,66.006,Lowest Rated
W. Aimson,63,16,28,66.006,Lowest Rated
J. Sims,63,16,28,66.006,Lowest Rated
A. Rufer,63,16,28,66.006,Lowest Rated
M. Pepić,63,16,28,66.006,Lowest Rated
O. Palmer,63,16,28,66.006,Lowest Rated
J. Manconi,63,16,28,66.006,Lowest Rated
D. Mangni,63,16,28,66.006,Lowest Rated
M. Jay,63,16,28,66.006,Lowest Rated
A. Cabrera,63,16,28,66.006,Lowest Rated
T. Conlon,63,16,28,66.006,Lowest Rated
C. Baker-Richardson,63,16,28,66.006,Lowest Rated
G. Thomas,63,16,28,66.006,Lowest Rated
A. Bakayoko,63,16,28,66.006,Lowest Rated
M. Samuelsen,63,16,28,66.006,Lowest Rated
J. Rossiter,63,16,28,66.006,Lowest Rated
R. Al Mousa,63,16,28,66.006,Lowest Rated
G. O'Neill,63,16,28,66.006,Lowest Rated
Kim Yong Hwan,63,16,28,66.006,Lowest Rated
B. Sweat,63,16,28,66.006,Lowest Rated
Liao Lisheng,63,16,28,66.006,Lowest Rated
Li Songyi,63,16,28,66.006,Lowest Rated
Lee Myung Jae,63,16,28,66.006,Lowest Rated
J. Norheim,63,16,28,66.006,Lowest Rated
Zheng Kaimu,63,16,28,66.006,Lowest Rated
T. Bishop,63,16,28,66.006,Lowest Rated
O. Khan,63,16,28,66.006,Lowest Rated
F. Fumu Tamuzo,63,16,28,66.006,Lowest Rated
B. Close,63,16,28,66.006,Lowest Rated
T. Davies,63,16,28,66.006,Lowest Rated
L. Smith,63,16,28,66.006,Lowest Rated
E. Özgenç,63,16,28,66.006,Lowest Rated
M. Demetriou,63,16,28,66.006,Lowest Rated
E. Taşdemir,63,16,28,66.006,Lowest Rated
B. Youssouf,63,16,28,66.006,Lowest Rated
G. Maris,63,16,28,66.006,Lowest Rated
F. Rawson,63,16,28,66.006,Lowest Rated
A. Yaşar,63,16,28,66.006,Lowest Rated
M. Clark,63,16,28,66.006,Lowest Rated
M. Williams,63,16,28,66.006,Lowest Rated
F. Strauss,63,16,28,66.006,Lowest Rated
Rao Weihui,63,16,28,66.006,Lowest Rated
Li Shenglong,63,16,28,66.006,Lowest Rated
He Guan,63,16,28,66.006,Lowest Rated
W. Cabrera,63,16,28,66.006,Lowest Rated
A. Portales,63,16,28,66.006,Lowest Rated
D. Telford,63,16,28,66.006,Lowest Rated
C. Doidge,63,16,28,66.006,Lowest Rated
B. Warland,63,16,28,66.006,Lowest Rated
J. Soltvedt,63,16,28,66.006,Lowest Rated
J. Moreno,63,16,28,66.006,Lowest Rated
T. Beadling,63,16,28,66.006,Lowest Rated
K. Vincent-Young,63,16,28,66.006,Lowest Rated
D. Bahamboula,63,16,28,66.006,Lowest Rated
K. Tshimanga,63,16,28,66.006,Lowest Rated
J. Serafin,63,16,28,66.006,Lowest Rated
J. Sowerby,63,16,28,66.006,Lowest Rated
S. Ring,63,16,28,66.006,Lowest Rated
S. Cosgrove,63,16,28,66.006,Lowest Rated
S. Buș,63,16,28,66.006,Lowest Rated
C. Kirk,63,16,28,66.006,Lowest Rated
G. Lapslie,63,16,28,66.006,Lowest Rated
H. Castegren,63,16,28,66.006,Lowest Rated
Jeong Hyun Cheol,63,16,28,66.006,Lowest Rated
W. Kurtović,63,16,28,66.006,Lowest Rated
R. Hendry,63,16,28,66.006,Lowest Rated
F. Krogstad,63,16,28,66.006,Lowest Rated
G. Kelly,63,16,28,66.006,Lowest Rated
A. Wright,63,16,28,66.006,Lowest Rated
P. Kotal,63,16,28,66.006,Lowest Rated
E. Segberg,63,16,28,66.006,Lowest Rated
M. Pedersen,63,16,28,66.006,Lowest Rated
R. Arnold,63,16,28,66.006,Lowest Rated
O. Buur,63,16,28,66.006,Lowest Rated
H. Rodgers,63,16,28,66.006,Lowest Rated
A. Georgen,63,16,28,66.006,Lowest Rated
A. Öztürk,63,16,28,66.006,Lowest Rated
Frédéric Maciel,63,16,28,66.006,Lowest Rated
